USPt	FgnPort	freq	MetricTons	ImportMetTons	ExportMetTons	Comm1	Comm2	Comm3	Ship1	Ship2	Ship3
Houston	La Paz	2460	119530602	119301732.3	228869.69	CEPSA INTL	SHELL ANACORTES	HESS ENERGY TRDG	UTEC SURVEYOR	AILSA CRAIG	MANIANA
Pascagoula	La Paz	927	67472074.25	67472074.25	0	CITGO	SHELL TRADING CO	HESS CORPORATION	TITAN	LIVORNO	PARASKEVI
Port Arthur	La Paz	763	50128751.01	50128751.01	0	NATEXIS BANQUE	SHELL TRADING	M C BAKER INTL	TELL	PIETARI DREAM	Simona
Richmond (California)	Ju'aymah Crude & LPG Terminals	1039	44458862.69	44458862.69	0	TRAFIGURA	CONOCOPHILLIPS	APEX	SEEMA	WIN E	Arahanga 2
Paulsboro	St Eustatius	770	35104456.13	35068614.14	35841.99	VITOL	TESORO	WR GRACE & CO	BINTIMANI	GANTA	Union Pacific
Houston	Coatzacoalcos	627	27796549.02	25115293.53	2681255.49	VITOL	SHELL OIL COMPANY (INC)	O T AFRICA LINE SHPG	GOOSE BAY	ROYAL COOLER	KAPITAN DUDIN I
Long Beach	Esmeraldas	747	26595512.72	26506301.87	89210.85	SEMPRA ENERGY TRDG	EQUIVA TRDG INTL	VTG USA INC	HERA	OCEAN ICE	POLAR VIII
Houston	Dos Bocas	501	26053707.44	26053701.4	6.04	EXXON CHEMICAL	TESORO REFINERY	DELMAS	NINA	TAI LU	ALEXANDROS M
Portland (Maine)	Windsor	612	25049660.78	25049660.78	0	HESS CORP	SHELL JAPAN TRDG LTD	VOTG NORTH AMERICA	SANTA MARINA	QESHET	ROYAL
Portland (Maine)	Sullom Voe	944	23997847.49	23997847.49	0	GLOBAL SOLUTIONS LTD	STATOIL	ELITE INTL	BLUE HAWK	Ocean Express	CARPOLA
Houston	Tuxpan	1325	23898253.74	113515.18	23784738.56	STATOIL ASA	SHELL OIL	SUTTONS INTL	DEAN	AGDAL	Oltenitsa 569 (Name Unknown)
New York	Windsor	535	19113730.19	19113730.19	0	ORDER	TESORO PETROLEUM	SUTTON INTL	TORVILL	ERSAI 3	Oltenitsa 570 (Name Unknown)
Houston	Rotterdam	2352	14682093.04	7187570.44	7494522.6	ORDER	ASTRA OIL	ORDER	COSMOBIL ACE	GLORY	Irina
Portland (Maine)	Hound Point	652	13215609.98	13215609.98	0	ORDER	SHELL OIL	SEABRIDGE INTL SHPG	Makmur Sejati	FRANCONIA	Gracia
Beaumont	Tuxpan	504	11760228.8	0	11760228.8	GLOBAL COMPANIES LLC	TESORO REFINING & MARKETING	DANMAR LINES	Gulnak	ETERNAL CLIPPER	Antreas
Houston	Singapore	2727	8149639.85	433681.65	7715958.2	GLOBAL SOLUTIONS LTD	TESORO PETROLEUM	ECONOCARIBE CONSOLIDATORS	PUERTO VALLARTA	GOLDEN GATE	Ocean Frontier
New York	Ventspils	931	7536426.48	7536426.48	0	ORDER	NATEXIS BANQUE	WINDROSE LINES	La Loma	P&O NEDLLOYD LUANDA	Bao Long Men
New York	Rotterdam	6536	7196959.36	4951440.03	2245519.33	GLENCORE	ASTRA OIL COMPANY INC	KUEHNE & NAGEL	BLUE REEFER	D. HAI	A Shujaa 1
Port Everglades	Freeport (Bah)	1593	6298163.62	5348167.48	949996.14	MEDLINE INDUSTRIES INC	S OIL	TRAXIT NORTH AMERICA LLC	ALONTRA	PEMUDA	ONISILOS
Houston	Antwerp	3779	5722362.3	4335680.51	1386681.79	VITOL	ORDER OF SHIPPER	MCLX INC	NISSOS KRITI	DEJIMA BAY	Arwad Island
