Name	MetricTons	ImportMetTons	ExportMetTons
Aabenraa	457298	457298	0
Aaheim	119270	119270	0
Aalborg	384392	384392	0
Aalesund	1287169	1287169	0
Aarhus	230319	230288	31
Abbot Point	258171	258171	0
Aberdeen	75377	75377	0
Abidjan	1409455	1200351	209104
Abonnema	103601	103601	0
Abu Dhabi	60716	57683	3033
Acajutla	4270409	29880	4240529
Accra	11986	0	11986
Achladi	30934	30934	0
Acu	592898	592898	0
Adabiya	303501	303501	0
Adelaide	4454	4094	361
Aden	126496	119228	7268
Agadir	8731	8521	210
Agioi Theodoroi	320060	295849	24210
Aguadulce	1131330	1131330	0
Ahus	81898	81898	0
Ajaccio	3043	0	3043
Ajman	50	0	50
Al Khums	109804	103521	6282
Alexandria	4322944	1219473	3103471
Algeciras	2823316	2593400	229916
Algiers	422165	421750	414
Aliaga	1425596	1072818	352777
Altagarcia (Maracaibo Area)	32822	32822	0
Altamira	1612066	81138	1530927
Alvik	53623	53623	0
Ambarli	206808	47900	158908
Amsterdam	46193503	19052481	27141022
Amuay Bay	24178744	21753323	2425421
Ancona	3392	0	3392
Angra Dos Reis	11392289	11389478	2811
Annaba	79	0	79
Anqing	3	0	3
Antalya	421430	421430	0
Antan Terminal	9308544	9308544	0
Antiparos 	83061	0	83061
Antofagasta	670170	19	670151
Antwerp	29675409	22467641	7207768
Anyer Terminal	16471	0	16471
Apapa	305881	276317	29564
Apia	1331	0	1331
Apra Harbour	62137	34943	27194
Aqaba	366530	25	366505
Aracaju	3269182	3269182	0
Aratu	378713	285384	93329
Argentia	27800	27800	0
Arica	1630665	1313729	316936
Arzew	43252752	43190490	62262
Ash Shihr	1265567	1265567	0
Ashdod	256790	192867	63923
Ashkelon	2822518	235814	2586704
Auckland	15607	54	15553
Augusta	3688233	3573242	114992
Aveiro	10	10	0
Aviles	353	353	0
Avonmouth	10	10	0
Bahia Blanca	869721	632141	237579
Bahia Las Minas	9837676	0	9837676
Bahrain	62733	60344	2388
Baie-Comeau	36712	36712	0
Bajo Grande	18043950	17954693	89257
Balao Terminal	1575512	1575512	0
Balboa	8238803	913429	7325374
Balhaf	1634671	1634671	0
Balikpapan	87792	87776	16
Balongan	87179	87179	0
Banana	87824	37959	49865
Bangka Marine Terminal	19	0	19
Bangkok	1829378	1746761	82617
Banias	2506913	2464572	42341
Banjarmasin	38672	38672	0
Banjul	16	0	16
Bantry	507810	484738	23072
Bar	77	0	77
Barahona	8510	50	8460
Barcelona	921395	146743	774652
Bari	105	0	105
Baria Serece	47	0	47
Barranquilla	978487	555140	423346
Basrah	26977111	26977111	0
Bata	128711	128711	0
Batam Island	18637	18584	52
Batangas	5195	5195	0
Batu Ampar	19	0	19
Batumi	1289911	1289841	70
Bayu Undan Offshore Terminal	86212	86212	0
Bayuquan (Yingkou New Port)	15027	0	15027
Becancour	105420	87153	18267
Bedi Bunder	14686	14686	0
Beihai	158302	153164	5139
Beilun	19	0	19
Beira	75501	0	75501
Beirut	3200558	0	3200558
Bejaia	22828731	22799051	29680
Belawan	25086	24517	569
Belem	271252	2166	269087
Belfast	97716	97677	39
Belize City	661824	2046	659778
Bell Bay	19	0	19
Belledune	60007	60007	0
Benghazi	590794	558817	31976
Benoa	258019	258019	0
Bergen	4872484	4872464	20
Bilbao	7232986	7000648	232338
Bin Qasim	1523	0	1523
Bintulu	319514	319489	25
Birkenhead	11409	0	11409
Bitung	15000	15000	0
Bizerte	1224741	1224700	41
Boma	94	0	94
Bonaire Terminal	8565038	8040737	524301
Bonga Offshore Terminal	1244204	1244204	0
Bonny Offshore Terminal	22811106	22722182	88924
Bordeaux	314823	0	314823
Botany Bay (Sydney Area)	752072	362233	389839
Bourgas	328068	328061	6
Braefoot Bay	419022	419022	0
Brake	48	0	48
Brass Terminal	9314023	9314023	0
Bremen	2596	228	2368
Bremerhaven	296211	225417	70794
Bridgetown	23439	469	22970
Brindisi	71597	66599	4998
Brisbane	559565	509264	50301
Brofjorden	3760447	3760447	0
Brunsbuttel	24766	11444	13321
Buenaventura	228203	20166	208037
Buenos Aires	7636060	1805732	5830329
Bullen Bay	10035325	9096080	939245
Bunbury	15	15	0
Busan	889977	475655	414322
Cabedelo	7118	34	7084
Cabinda	6686346	6686346	0
Cadiz Bay (Spain - incl. San Fernando)	59479	59469	10
Cagayan De Oro	58	0	58
Cagliari	88266	18332	69934
Cai Lan	33706	33117	589
Cai Mep	420	0	420
Calabar	1665	0	1665
Calcutta	628	0	628
Caldera (Chile)	71	0	71
Caleta Cordova	4033231	4033231	0
Caleta Olivia	69964	69964	0
Caleta Patillos	59282	59282	0
Callao	3667313	1127826	2539487
Campana	2278529	1093776	1184753
Campha	76750	76750	0
Canakkale	72963	0	72963
Caojing	8862	0	8862
Cap Haitien	546	9	537
Cape Finisterre	90029	90029	0
Cape Lopez	8726720	8726720	0
Cape Town	540140	349052	191088
Cardiff	37179	37179	0
Carenero	426726	426726	0
Cartagena (Col)	12494436	8396697	4097739
Casablanca	95743	15	95728
Castellon	1094345	384103	710242
Castries	85932	0	85932
Catania	6	0	6
Caucedo	252525	57668	194857
Cayos Arcas Terminal	280326877	279962650	364226
Cebu	597	0	597
Ceiba Marine Terminal (FPSO)	79415	79415	0
Ceuta	16039	16039	0
Ceyhan	15442175	15442175	0
Chaguaramas	78271	38	78233
Changshu	12989	0	12989
Changzhou	10504	0	10504
Charlotte Amalie	57	0	57
Chennai	856374	61982	794392
Chetumal	72649	72649	0
Chiba	3601477	1492425	2109052
Chiriqui Grande Terminal	8752215	8752215	0
Chittagong	269	20	249
Chiwan	512869	496693	16176
Chongqing	130	0	130
Chuuk Archipelago (Weno Island)	115	115	0
Cigading	402653	0	402653
Cilacap	132500	132500	0
Cinta Terminal	324097	324097	0
Ciudad Del Carmen	437259	315124	122135
Civitavecchia	151401	119	151282
Coatzacoalcos	40727087	35188525	5538562
Cochin	232370	101770	130599
Colombo	6205	327	5878
Colon	1512725	368080	1144645
Come By Chance	20679967	18772511	1907456
Comodoro Rivadavia	1569576	1569576	0
Conakry	270377	0	270377
Constantza	330989	232684	98305
Copenhagen	1061032	1060934	98
Coquimbo	39808	0	39808
Corinto	271299	172	271126
Cork	131901	91995	39906
Coronel	220379	2	220377
Cotonou	1863126	434719	1428406
Covenas Offshore Terminal	71235723	71131846	103877
Cozumel	33	33	0
Cristobal	6731616	235007	6496609
Crofton	66765	0	66765
Curacao	3545864	2953901	591962
Dachan Bay	157	0	157
Daesan	2638883	2561099	77784
Dagenham	67039	6	67033
Dahej	123434	0	123434
Dakar	480669	32964	447705
Dalian	43858	15195	28664
Damietta	9080511	8954358	126153
Dammam	222736	217269	5468
Dampier	961913	961913	0
Danang	467672	467554	117
Dar es Salaam	190	0	190
Davao	26198	2089	24108
Degrad des Cannes	791	0	791
Delfzijl	118067	118067	0
Derince	47164	0	47164
Dhamra	199504	199504	0
Diliskelesi	14	14	0
Djeno Terminal (FPSO)	8273527	8273527	0
Djibouti	133	0	133
Donges	1166945	1157385	9559
Dongguan	30295	0	30295
Dordrecht	3194	3194	0
Dortyol Oil Terminal	251311	122474	128837
Dos Bocas	59313872	59280043	33829
Douala	9007240	8925574	81666
Dover	315184	269966	45218
Drammen	3500	0	3500
Dubai	56723	27906	28817
Dublin	3144	0	3144
Dumai	5794917	5794917	0
Dundee	42078	8776	33302
Dunkirk	650421	454358	196063
Durban	720564	237739	482825
Durres	158	0	158
East London	20	0	20
Eastham	167628	89952	77675
Ebon	84561	84561	0
Ekonomiya	16225	16225	0
El Dekheila	974644	92183	882460
El Ferrol	31795	30081	1714
El Guamache	4542362	4542362	0
El Palito	5344088	2585198	2758890
El Tablazo	549189	356800	192389
Eleusis	163272	163272	0
Ellesmere Port	6015	60	5955
Emden	16377	8577	7800
Ensenada	148041	148041	0
Ensted	26999	26999	0
Eregli	3151110	3151110	0
Es Sider	1477423	1477423	0
Esbjerg	148563	0	148563
Escravos Oil Terminal	16086419	16086419	0
Esmeraldas	61355463	51718930	9636532
Etang de Berre	12558	12558	0
Falmouth	191009	185093	5917
Fangcheng	90432	90432	0
Fawley	10750173	10241588	508585
Felixstowe	197680	119216	78465
Feodosia	2107230	2107230	0
Finnart	14075	14075	0
Fiumicino	126112	126112	0
Flotta Terminal	4225720	4225720	0
Flushing	1430474	734903	695570
Forcados Oil Terminal	4496426	4481158	15268
Fortaleza	449824	350744	99080
Fort-De-France	1458049	110690	1347358
Fos	2610690	2130989	479701
Fredericia	1416242	1416162	80
Fredrikstad	823104	775468	47635
Freeport (Bah)	52511018	39052160	13458858
Freetown	23515	23389	126
Fremantle	274154	268428	5726
Fujairah	1916273	753620	1162653
Funchal	3	3	0
Fuzhou (Greater Area)	361	0	361
Gabes	6752	0	6752
Gaeta	208450	0	208450
Gamba	2831229	2831229	0
Gdansk	2637756	2637710	45
Gdynia	89001	88339	661
Gebze	169626	44478	125148
Geelong	92931	92431	501
Gemlik	1752911	1751090	1821
General San Martin	755975	755975	0
General Santos	15	0	15
Genoa	3959857	2448119	1511738
Georgetown (Cayman Islands)	255803	16075	239728
Georgetown (Guyana)	340373	29491	310882
Geraldton	35087	35087	0
Ghent	266759	252918	13841
Gibraltar	24614780	898981	23715799
Gijon	31990	3534	28456
Gioia Tauro	29210	3657	25553
Gladstone	12	12	0
Goteborg	3706206	3455585	250620
Grangemouth	71501	71395	107
Gravenchon	6308	0	6308
Guangzhou (incl. Huangpu and Nanhai)	169198	60124	109074
Guanta	126011035	125847358	163677
Guaranao	254145	241689	12456
Guayanilla	384166	49638	334529
Guayaquil	923613	153667	769945
Guaymas	177959	0	177959
Gustavia	60	0	60
Haifa	1060456	726481	333975
Haiphong	82634	81926	708
Hakata	311	74	237
Haldia	1066620	822074	244546
Halifax	1902982	1325378	577604
Hamble	398934	0	398934
Hamburg	3337646	953379	2384267
Hamilton (Bermuda)	598657	473734	124923
Hamina	92989	92989	0
Hammerfest	422536	422536	0
Hanko	41746	41746	0
Harwich	6084	0	6084
Havana	49508	0	49508
Hazira	67129	67129	0
Helsingborg	26	0	26
Helsinki	39157	38760	397
Hidd	19	0	19
Hitachi	216	216	0
Ho Chi Minh City	2094748	2084451	10297
Hobart	25140	0	25140
Hodeidah	874	121	753
Hong Kong	2518205	1747307	770898
Hound Point	14881215	14881215	0
Huangpu	127985	0	127985
Huasco	47488	0	47488
Huelva	1992019	1766451	225568
Huizhou	144406	38352	106055
Hull	39	39	0
Hunterston	58427	0	58427
Ijmuiden	40822	40822	0
Ilo	120403	103448	16954
Ilyichevsk	54612	54489	123
Imari	32621	0	32621
Imbituba	3402859	3402859	0
Immingham	9746398	9320410	425988
Inchon	325374	145517	179858
Inkoo	15273	15273	0
Ipswich	54	0	54
Iquique	840441	42845	797596
Iskenderun	6264005	6263453	553
Istanbul	1134496	335570	798925
Itaguai	15	0	15
Itajai	72873	619	72253
Itaqui	47983	34797	13186
Izmir	446589	181844	264745
Izmit	645375	638120	7255
Jakarta	328685	317305	11380
Jamnagar	3514770	3514770	0
Jebel Ali	1130262	877901	252361
Jebel Dhanna/Ruwais	42095	42095	0
Jeddah	558403	491539	66865
Jiangsu	94234	0	94234
Jiangyin	62573	0	62573
Jinzhou	11600	11600	0
Jorf Lasfar	339690	0	339690
Jose Terminal	175490790	172907995	2582794
Ju'aymah Crude & LPG Terminals	19725690	19725690	0
Jubail	2287736	2286831	905
Kakinada	58104	58104	0
Kaliningrad	32262	32119	143
Kalundborg	2654175	2568134	86041
Kandla	200745	92251	108494
Kaohsiung	2316939	1299960	1016979
Karachi	71767	54614	17153
Karimun	17312	17312	0
Karlshamn	2294521	2294521	0
Karsto	7453907	7409824	44083
Kashima	316022	48087	267935
Kawasaki	447773	268590	179182
Kazan	55112	55112	0
Keelung	117483	23456	94027
Kemi	9003	0	9003
Kerch (incl. Port Krym)	13367482	13367482	0
Kerteh Terminal	515696	515696	0
Khor Fakkan	22351	21033	1318
Killingholme	63919	0	63919
Kingsnorth	3874	0	3874
