Route,FgnPort,FgnPtLat,FgnPtLng,USPt,USPtLat,USPtLng,MetricTons,ExportMetTons,ImportMetTons
Cayos Arcas Terminal-Houston,Cayos Arcas Terminal,20.14572264,-91.97307587,Houston,29.79655941,-94.95346069,103469848.7,326721.41,103143127.3
Cayos Arcas Terminal-Pascagoula,Cayos Arcas Terminal,20.14572264,-91.97307587,Pascagoula,30.38723997,-88.4564209,52160977.33,0,52160977.33
Guanta-Freeport (USA),Guanta,10.16085679,-64.54055786,Freeport (USA),29.04176325,-95.22468567,51969683.65,0,51969683.65
Cayos Arcas Terminal-Port Arthur,Cayos Arcas Terminal,20.14572264,-91.97307587,Port Arthur,29.99569696,-93.80401611,50330588.62,0,50330588.62
Jose Terminal-Lake Charles,Jose Terminal,10.04493476,-64.81868362,Lake Charles,30.28456693,-93.13041687,41978036.9,119124.21,41858912.69
Jose Terminal-Houston,Jose Terminal,10.04493476,-64.81868362,Houston,29.79655941,-94.95346069,29538265.82,1544437.03,27993828.79
Jose Terminal-Corpus Christi,Jose Terminal,10.04493476,-64.81868362,Corpus Christi,28.0550147,-96.98730469,27651986.77,71909.13,27580077.64
St John s (NF)-Boston,St John s (NF),47.55128247,-52.64703369,Boston,42.38837782,-70.97373962,23821131.15,11.8,23821119.35
Cayos Arcas Terminal-Lake Charles,Cayos Arcas Terminal,20.14572264,-91.97307587,Lake Charles,30.28456693,-93.13041687,23377622.97,0,23377622.97
Tuxpan-Houston,Tuxpan,20.87870142,-97.2681427,Houston,29.79655941,-94.95346069,22598764.01,22489235.6,109528.41
Basrah-Long Beach,Basrah,29.8424307,48.66256714,Long Beach,33.79740877,-118.1763268,22079398.96,0,22079398.96
Oranjestad (Aruba)-Paulsboro,Oranjestad (Aruba),12.40757435,-69.88420486,Paulsboro,39.88217793,-75.18073082,20808663.07,0,20808663.07
Esmeraldas-Long Beach,Esmeraldas,0.977735746,-79.61380005,Long Beach,33.79740877,-118.1763268,19352558.02,28146.27,19324411.75
Guanta-Lake Charles,Guanta,10.16085679,-64.54055786,Lake Charles,30.28456693,-93.13041687,16112937.73,0,16112937.73
