Route,FgnPort,FgnPtLat,FgnPtLng,USPt,USPtLat,USPtLng,MetricTons
,,,,,,,
Cayos Arcas Terminal-Houston,Cayos Arcas Terminal,20.14572264,-91.97307587,Houston,29.79655941,-94.95346069,"103,469,849"
,,,,,,,
Cayos Arcas Terminal-Pascagoula,Cayos Arcas Terminal,20.14572264,-91.97307587,Pascagoula,30.38723997,-88.4564209,"52,160,977"
,,,,,,,
Guanta-Freeport (USA),Guanta,10.16085679,-64.54055786,Freeport (USA),29.04176325,-95.22468567,"51,969,684"
,,,,,,,
Cayos Arcas Terminal-Port Arthur,Cayos Arcas Terminal,20.14572264,-91.97307587,Port Arthur,29.99569696,-93.80401611,"50,330,589"
,,,,,,,
Jose Terminal-Lake Charles,Jose Terminal,10.04493476,-64.81868362,Lake Charles,30.28456693,-93.13041687,"41,978,037"
,,,,,,,
Jose Terminal-Houston,Jose Terminal,10.04493476,-64.81868362,Houston,29.79655941,-94.95346069,"29,538,266"
,,,,,,,
Jose Terminal-Corpus Christi,Jose Terminal,10.04493476,-64.81868362,Corpus Christi,28.0550147,-96.98730469,"27,651,987"
,,,,,,,
St John s (NF)-Boston,St John s (NF),47.55128247,-52.64703369,Boston,42.38837782,-70.97373962,"23,821,131"
,,,,,,,
Cayos Arcas Terminal-Lake Charles,Cayos Arcas Terminal,20.14572264,-91.97307587,Lake Charles,30.28456693,-93.13041687,"23,377,623"
,,,,,,,
Tuxpan-Houston,Tuxpan,20.87870142,-97.2681427,Houston,29.79655941,-94.95346069,"22,598,764"
,,,,,,,
Basrah-Long Beach,Basrah,29.8424307,48.66256714,Long Beach,33.79740877,-118.1763268,"22,079,399"
,,,,,,,
Oranjestad (Aruba)-Paulsboro,Oranjestad (Aruba),12.40757435,-69.88420486,Paulsboro,39.88217793,-75.18073082,"20,808,663"
,,,,,,,
Esmeraldas-Long Beach,Esmeraldas,0.977735746,-79.61380005,Long Beach,33.79740877,-118.1763268,"19,352,558"
,,,,,,,
Guanta-Lake Charles,Guanta,10.16085679,-64.54055786,Lake Charles,30.28456693,-93.13041687,"16,112,938"
,,,,,,,
Qua Iboe-Philadelphia,Qua Iboe,4.538094357,8.02731514,Philadelphia,40.00145146,-75.05541801,"15,228,070"
,,,,,,,
Whiffen Head-New York,Whiffen Head,47.76229147,-53.99711609,New York,40.85160511,-73.79653931,"14,884,062"
,,,,,,,
Cayos Arcas Terminal-Texas City,Cayos Arcas Terminal,20.14572264,-91.97307587,Texas City,29.39623462,-94.80643272,"14,283,974"
,,,,,,,
Rotterdam-Houston,Rotterdam,51.86377197,4.555206299,Houston,29.79655941,-94.95346069,"13,990,763"
,,,,,,,
Jose Terminal-New Orleans,Jose Terminal,10.04493476,-64.81868362,New Orleans,30.03744573,-89.88189697,"13,706,041"
,,,,,,,
Covenas Offshore Terminal-Pascagoula,Covenas Offshore Terminal,9.468026518,-75.72240829,Pascagoula,30.38723997,-88.4564209,"13,351,880"
,,,,,,,
Guanta-Corpus Christi,Guanta,10.16085679,-64.54055786,Corpus Christi,28.0550147,-96.98730469,"13,313,926"
,,,,,,,
Point Fortin-Boston,Point Fortin,10.16018091,-61.5927887,Boston,42.38837782,-70.97373962,"13,017,362"
,,,,,,,
Ju'aymah Crude & LPG Terminals-Richmond (California),Ju'aymah Crude & LPG Terminals,26.89957887,50.10123714,Richmond (California),37.89815597,-122.2919083,"12,312,767"
,,,,,,,
Bejaia-Houston,Bejaia,36.6849403,5.140142414,Houston,29.79655941,-94.95346069,"12,298,903"
,,,,,,,
Escravos Oil Terminal-Philadelphia,Escravos Oil Terminal,5.367371336,5.304302216,Philadelphia,40.00145146,-75.05541801,"11,968,668"
,,,,,,,
Dos Bocas-Houston,Dos Bocas,18.39199497,-93.14826965,Houston,29.79655941,-94.95346069,"11,824,653"
,,,,,,,
Kribi-Philadelphia,Kribi,2.635102655,9.929580688,Philadelphia,40.00145146,-75.05541801,"11,771,598"
,,,,,,,
Whiffen Head-Portland (Maine),Whiffen Head,47.76229147,-53.99711609,Portland (Maine),43.68823237,-70.19508362,"11,656,017"
,,,,,,,
Coatzacoalcos-Houston,Coatzacoalcos,18.05708977,-94.29908752,Houston,29.79655941,-94.95346069,"11,359,922"
,,,,,,,
Guanta-New Orleans,Guanta,10.16085679,-64.54055786,New Orleans,30.03744573,-89.88189697,"11,316,759"
,,,,,,,
St Croix-Boston,St Croix,17.6492558,-64.5227051,Boston,42.38837782,-70.97373962,"11,255,365"
,,,,,,,
Sullom Voe-Portland (Maine),Sullom Voe,60.42944347,-1.227035522,Portland (Maine),43.68823237,-70.19508362,"11,092,188"
,,,,,,,
Tuxpan-Beaumont,Tuxpan,20.87870142,-97.2681427,Beaumont,30.1338447,-93.95362973,"11,020,426"
,,,,,,,
Coatzacoalcos-Beaumont,Coatzacoalcos,18.05708977,-94.29908752,Beaumont,30.1338447,-93.95362973,"10,936,608"
,,,,,,,
Covenas Offshore Terminal-Texas City,Covenas Offshore Terminal,9.468026518,-75.72240829,Texas City,29.39623462,-94.80643272,"10,825,082"
,,,,,,,
St John s (NF)-Portland (Maine),St John s (NF),47.55128247,-52.64703369,Portland (Maine),43.68823237,-70.19508362,"10,684,983"
,,,,,,,
Coatzacoalcos-Port Arthur,Coatzacoalcos,18.05708977,-94.29908752,Port Arthur,29.99569696,-93.80401611,"10,628,940"
,,,,,,,
Arzew-Houston,Arzew,35.77827134,-0.162734985,Houston,29.79655941,-94.95346069,"10,189,618"
,,,,,,,
Ceyhan-Philadelphia,Ceyhan,36.82536326,36.01369858,Philadelphia,40.00145146,-75.05541801,"9,988,309"
,,,,,,,
Dos Bocas-Lake Charles,Dos Bocas,18.39199497,-93.14826965,Lake Charles,30.28456693,-93.13041687,"9,481,640"
,,,,,,,
Jose Terminal-Port Arthur,Jose Terminal,10.04493476,-64.81868362,Port Arthur,29.99569696,-93.80401611,"9,423,037"
,,,,,,,
Vancouver (Can)-Long Beach,Vancouver (Can),48.9757105,-122.7846433,Long Beach,33.79740877,-118.1763268,"9,112,637"
,,,,,,,
Rotterdam-New York,Rotterdam,51.86377197,4.555206299,New York,40.85160511,-73.79653931,"9,036,783"
,,,,,,,
Odudu Terminal-Philadelphia,Odudu Terminal,3.843542428,7.91784668,Philadelphia,40.00145146,-75.05541801,"8,938,747"
,,,,,,,
Mongstad-Portland (Maine),Mongstad,60.77290852,5.117912292,Portland (Maine),43.68823237,-70.19508362,"8,872,494"
,,,,,,,
Lagos-Philadelphia,Lagos,6.354966089,3.475112915,Philadelphia,40.00145146,-75.05541801,"8,777,880"
,,,,,,,
Singapore-Houston,Singapore,1.131518239,104.1112518,Houston,29.79655941,-94.95346069,"8,674,877"
,,,,,,,
Hound Point-Portland (Maine),Hound Point,56.00321559,-3.350214577,Portland (Maine),43.68823237,-70.19508362,"8,635,712"
,,,,,,,
Covenas Offshore Terminal-Houston,Covenas Offshore Terminal,9.468026518,-75.72240829,Houston,29.79655941,-94.95346069,"8,521,663"
,,,,,,,
Point Fortin-Savannah,Point Fortin,10.16018091,-61.5927887,Savannah,32.17779192,-80.98743439,"8,496,696"
,,,,,,,
Jose Terminal-Texas City,Jose Terminal,10.04493476,-64.81868362,Texas City,29.39623462,-94.80643272,"8,309,558"
,,,,,,,
Cayos Arcas Terminal-New Orleans,Cayos Arcas Terminal,20.14572264,-91.97307587,New Orleans,30.03744573,-89.88189697,"8,231,759"
,,,,,,,
Gibraltar-New York,Gibraltar,36.12220754,-5.345106125,New York,40.85160511,-73.79653931,"8,196,963"
,,,,,,,
Dos Bocas-Portland (Maine),Dos Bocas,18.39199497,-93.14826965,Portland (Maine),43.68823237,-70.19508362,"8,112,557"
,,,,,,,
Cayos Arcas Terminal-Corpus Christi,Cayos Arcas Terminal,20.14572264,-91.97307587,Corpus Christi,28.0550147,-96.98730469,"8,062,524"
,,,,,,,
Dos Bocas-Pascagoula,Dos Bocas,18.39199497,-93.14826965,Pascagoula,30.38723997,-88.4564209,"7,860,689"
,,,,,,,
Covenas Offshore Terminal-Port Arthur,Covenas Offshore Terminal,9.468026518,-75.72240829,Port Arthur,29.99569696,-93.80401611,"7,819,619"
,,,,,,,
